City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Ocampo,MX,2022-05-14 04:30:13,21.65,-101.5,62.28,47,47,9.51
129,Atambua,ID,2022-05-14 04:30:14,-9.1061,124.8925,83.68,65,22,3.27
130,Kupino,RU,2022-05-14 04:30:14,54.3663,77.2981,76.73,25,63,11.34
131,Jamestown,US,2022-05-14 04:26:00,42.097,-79.2353,67.64,77,0,8.05
132,Olinda,BR,2022-05-14 04:30:15,-8.0089,-34.8553,76.73,94,75,3.44
133,Fort Nelson,CA,2022-05-14 04:25:38,58.8053,-122.7002,47.79,87,100,0.0
134,Belyy,RU,2022-05-14 04:30:16,55.8402,32.9419,48.31,68,80,8.48
135,Yerbogachen,RU,2022-05-14 04:30:16,61.2767,108.0108,61.25,50,72,2.19
136,Karaman,TR,2022-05-14 04:30:17,37.0833,33.25,59.54,43,61,9.82
137,Nanga Eboko,CM,2022-05-14 04:30:17,4.6833,12.3667,67.42,100,100,1.61
138,Gondanglegi,ID,2022-05-14 04:30:17,-7.7479,112.0132,88.95,65,43,4.97
139,Nzerekore,GN,2022-05-14 04:30:18,7.7562,-8.8179,69.89,99,89,1.36
140,Ribeira Grande,PT,2022-05-14 04:30:18,38.5167,-28.7,60.62,73,37,12.8
141,Alihe,CN,2022-05-14 04:30:19,50.5667,123.7167,53.04,43,100,8.81
142,Vilyuysk,RU,2022-05-14 04:30:19,63.7553,121.6247,37.35,52,83,11.7
143,Constitucion,CL,2022-05-14 04:30:20,-35.3333,-72.4167,51.24,58,100,5.66
144,Olds,CA,2022-05-14 04:25:38,51.7834,-114.102,44.74,87,100,9.22
145,Mombasa,KE,2022-05-14 04:30:21,-4.0547,39.6636,79.93,74,11,13.58
146,Ancud,CL,2022-05-14 04:30:21,-41.8697,-73.8203,49.06,88,100,5.41
147,Xuddur,SO,2022-05-14 04:30:21,4.1213,43.8894,76.59,75,39,15.52
148,Alice Springs,AU,2022-05-14 04:25:55,-23.7,133.8833,89.15,20,18,8.05
149,Gorom-Gorom,BF,2022-05-14 04:30:22,14.4439,-0.2361,83.77,11,52,3.85
150,Lavrentiya,RU,2022-05-14 04:30:22,65.5833,-171.0,30.92,86,51,3.89
151,Victoria,HK,2022-05-14 04:26:51,22.2855,114.1577,80.33,91,73,5.99
152,La Mana,EC,2022-05-14 04:30:27,-0.9333,-79.2167,73.6,92,67,2.19
153,Dikson,RU,2022-05-14 04:30:27,73.5069,80.5464,33.12,98,100,16.17
154,Saiha,IN,2022-05-14 04:30:29,22.4833,92.9667,82.47,67,56,3.67
155,Bredasdorp,ZA,2022-05-14 04:30:30,-34.5322,20.0403,53.04,86,61,6.53
156,Bekhtery,UA,2022-05-14 04:30:32,46.251,32.2927,59.63,83,99,10.22
157,Te Anau,NZ,2022-05-14 04:30:34,-45.4167,167.7167,55.09,91,89,3.27
158,Lompoc,US,2022-05-14 04:30:41,34.6391,-120.4579,61.59,83,0,14.97
159,La Macarena,CO,2022-05-14 04:30:41,2.1837,-73.7849,72.5,98,98,1.41
160,Riyadh,SA,2022-05-14 04:30:42,24.6877,46.7219,75.34,15,0,16.11
161,Karoi,ZW,2022-05-14 04:30:43,-16.8099,29.6925,57.38,86,0,4.05
162,Kidal,ML,2022-05-14 04:30:44,18.4411,1.4078,81.39,10,34,14.05
163,Camacha,PT,2022-05-14 04:30:44,33.0833,-16.3333,62.02,88,40,5.75
164,Labuhan,ID,2022-05-14 04:30:45,-6.8844,112.2051,86.29,72,97,7.38
165,Rio Grande,BR,2022-05-14 04:28:01,-32.035,-52.0986,61.11,79,100,11.52
166,Aleksandrov Gay,RU,2022-05-14 04:30:46,50.147,48.5704,60.53,61,16,11.23
167,Ellsworth,US,2022-05-14 04:26:18,44.5434,-68.4195,62.56,95,40,10.36
168,Ternate,ID,2022-05-14 04:30:47,0.8,127.4,80.51,81,99,6.17
169,Montepuez,MZ,2022-05-14 04:30:49,-13.1256,38.9997,65.73,82,5,3.22
170,The Valley,AI,2022-05-14 04:30:49,18.217,-63.0578,79.11,73,56,23.87
171,Lorengau,PG,2022-05-14 04:30:51,-2.0226,147.2712,85.33,63,33,7.27
172,Lebu,CL,2022-05-14 04:30:52,-37.6167,-73.65,48.34,78,98,16.46
173,Caceres,ES,2022-05-14 04:30:53,39.522,-6.3748,67.64,45,100,3.09
174,Hilo,US,2022-05-14 04:25:58,19.7297,-155.09,78.28,84,100,4.61
175,Calderitas,MX,2022-05-14 04:30:54,18.55,-88.25,77.63,67,0,6.62
176,Mwene-Ditu,CD,2022-05-14 04:30:54,-7.0,23.45,64.92,73,96,4.45
177,Yulara,AU,2022-05-14 04:30:55,-25.2406,130.9889,83.61,30,12,11.39
178,East London,ZA,2022-05-14 04:30:55,-33.0153,27.9116,61.74,72,0,10.36
179,Sao Filipe,CV,2022-05-14 04:26:15,14.8961,-24.4956,75.11,68,100,7.27
180,Vokhtoga,RU,2022-05-14 04:30:57,58.8147,41.0461,43.61,95,100,9.31
181,Hasaki,JP,2022-05-14 04:26:07,35.7333,140.8333,75.29,89,100,18.41
182,Port Macquarie,AU,2022-05-14 04:30:58,-31.4333,152.9167,76.89,76,11,13.42
183,Puerto Ayora,EC,2022-05-14 04:30:58,-0.7393,-90.3518,72.55,97,61,1.01
184,Calbuco,CL,2022-05-14 04:30:59,-41.768,-73.1273,45.61,80,100,6.2
185,Silute,LT,2022-05-14 04:30:59,55.3489,21.4831,49.68,92,73,15.1
